Source,Target,Type,Id,Label,timeset,Weight
@ShayGizzleXO,@ABC,Directed,277,,,1
@lowkeylin,@therealroseanne,Directed,278,,,1
@DebraMessing,@DebraMessing,Directed,279,,,1
@DebraMessing,@DisneyStudios,Directed,280,,,1
@CassandraRules,@CassandraRules,Directed,281,,,1
@CassandraRules,@ABCNetwork,Directed,282,,,1
@ChrisRBarron,@ChrisRBarron,Directed,283,,,1
@ddale8,@ddale8,Directed,284,,,1
@RobynUrback,@RobynUrback,Directed,285,,,1
@RealCharlieK,@RealCharlieK,Directed,286,,,1
@RealCharlieK,@ValerieJarrett,Directed,287,,,1
@JYSexton,@JYSexton,Directed,288,,,1
@Travon,@Travon,Directed,289,,,1
@CaughtYa164,@antventure,Directed,290,,,1
@CaughtYa164,@therealroseanne,Directed,291,,,1
@pattiepardee,@therealroseanne,Directed,292,,,1
@pattiepardee,@ChelseaClinton,Directed,293,,,1
@pattiepardee,@OpenSociety,Directed,294,,,1
@Mike_P_Williams,@Mike_P_Williams,Directed,295,,,1
@Jukehorse50,@Jukehorse50,Directed,296,,,1
@ericonederful,@ericonederful,Directed,297,,,1
@KurtSchlichter,@KurtSchlichter,Directed,298,,,1
@KurtSchlichter,@therealroseanne,Directed,299,,,1
@Shelli22C,@Shelli22C,Directed,300,,,1
@Deggans,@Deggans,Directed,301,,,1
@CallingOutBS4U,@CallingOutBS4U,Directed,302,,,1
@CallingOutBS4U,@therealroseanne,Directed,303,,,1
@THEsaragilbert,@THEsaragilbert,Directed,304,,,1
@perlmutations,@perlmutations,Directed,305,,,1
@SorayaMcDonald,@SorayaMcDonald,Directed,306,,,1
@SorayaMcDonald,@ABCNetwork,Directed,307,,,1
@TheGoodGodAbove,@TheGoodGodAbove,Directed,308,,,1
@TheGoodGodAbove,@therealroseanne,Directed,309,,,1
@JenKirkman,@JenKirkman,Directed,310,,,1
@JenKirkman,@ABCNetwork,Directed,311,,,1
@waltshaub,@waltshaub,Directed,312,,,1
@waltshaub,@THEsaragilbert,Directed,313,,,1
@cassiandor,@cassiandor,Directed,314,,,1
@MartinPengelly,@MartinPengelly,Directed,315,,,1
@sahilkapur,@sahilkapur,Directed,316,,,1
@Bmw2163Heart,@Bmw2163Heart,Directed,317,,,1
@BuzzFeedNews,@BuzzFeedNews,Directed,318,,,1
@ChuckWendig,@ChuckWendig,Directed,319,,,1
@AlanNAngieStone,@therealroseanne,Directed,320,,,1
@AlanNAngieStone,@ChelseaClinton,Directed,321,,,1
@AlanNAngieStone,@OpenSociety,Directed,322,,,1
@molly_knight,@molly_knight,Directed,323,,,1
@raaadaniel,@UncleAndy45014,Directed,324,,,1
@raaadaniel,@jodikantor,Directed,325,,,1
@raaadaniel,@maggieNYT,Directed,326,,,1
@raaadaniel,@ValerieJarrett,Directed,327,,,1
@raaadaniel,@therealroseanne,Directed,328,,,1
@Sulliview,@Sulliview,Directed,329,,,1
@LeslieMac,@LeslieMac,Directed,330,,,1
@mauricefontai19,@foxnews,Directed,331,,,1
@ZDROJ_CZ,@ABCNetwork,Directed,332,,,1
@ColorOfChange,@ColorOfChange,Directed,333,,,1
@ColorOfChange,@ABC,Directed,334,,,1
@angusparvo,@angusparvo,Directed,335,,,1
@angusparvo,@instapundit,Directed,336,,,1
@angusparvo,@WaltDisneyCo,Directed,337,,,1
@angusparvo,@therealroseanne,Directed,338,,,1
@angusparvo,@ABCNetwork,Directed,339,,,1
@angusparvo,@espn,Directed,340,,,1
@davidfrum,@davidfrum,Directed,341,,,1
@Abqpatriotsfan,@therealroseanne,Directed,342,,,1
@SulakCourtney,@SulakCourtney,Directed,343,,,1
@SulakCourtney,@krod2516,Directed,344,,,1
@SulakCourtney,@Mez1602Nm,Directed,345,,,1
@SulakCourtney,@MikeHibu,Directed,346,,,1
@SulakCourtney,@RedTRaccoon,Directed,347,,,1
@SulakCourtney,@therealroseanne,Directed,348,,,1
@esqonfire,@esqonfire,Directed,349,,,1
@TeresaB28405015,@therealroseanne,Directed,350,,,1
@enews,@ABCNetwork,Directed,351,,,1
@RealMattCouch,@RealMattCouch,Directed,352,,,1
@cthagod,@cthagod,Directed,353,,,1
@Connors11James,@techiven,Directed,354,,,1
@Connors11James,@therealroseanne,Directed,355,,,1
@Connors11James,@ChelseaClinton,Directed,356,,,1
@Connors11James,@OpenSociety,Directed,357,,,1
@blackmon,@blackmon,Directed,358,,,1
@aidenslament,@therealroseanne,Directed,359,,,1
@Chuck_Warn,@ABC,Directed,360,,,1
@gatewaypundit,@gatewaypundit,Directed,361,,,1
@SykesCharlie,@SykesCharlie,Directed,362,,,1
@1Jedi_Rey,@1Jedi_Rey,Directed,363,,,1
@TeaPainUSA,@TeaPainUSA,Directed,364,,,1
@TeaPainUSA,@ABC,Directed,365,,,1
@Dawn_DeMore1,@Dawn_DeMore1,Directed,366,,,1
@Lucyluc13407239,@therealroseanne,Directed,367,,,1
@BostonJerry,@BostonJerry,Directed,368,,,1
@WendyBeemer,@therealroseanne,Directed,369,,,1
@funnyordie,@funnyordie,Directed,370,,,1
@LauraMorrison58,@nytimes,Directed,371,,,1
@JTMYVA,@therealroseanne,Directed,372,,,1
@andreagonram,@andreagonram,Directed,373,,,1
@swtimogenation,@Microsingular,Directed,374,,,1
@swtimogenation,@therealroseanne,Directed,375,,,1
@alyciacooper,@MrsWilliams___,Directed,376,,,1
@alyciacooper,@brooklyn3r,Directed,377,,,1
@alyciacooper,@jodikantor,Directed,378,,,1
@alyciacooper,@ValerieJarrett,Directed,379,,,1
