Source,Target,Type,Id,Label,timeset,Weight
@1vegasjack,@kindlee55,Directed,54704,,,1
@1vegasjack,@realmikepacker,Directed,54703,,,1
@1vegasjack,@Sarah_G_Barker,Directed,54705,,,1
@1virtualgenie,@therealrosanne,Directed,8785,,,1
@1vwright,@CNN,Directed,49911,,,1
@1WishYouWould,@AprilDRyan,Directed,29417,,,1
@2000Miliana,@DonaldJTrumpJr,Directed,42396,,,1
@2000Miliana,@KFILE,Directed,42395,,,1
@2000Miliana,@krupali,Directed,42394,,,1
@2017Guitarman,@kplknup,Directed,33538,,,1
@2017Guitarman,@Twitter,Directed,41218,,,1
@205schoolteacha,@rolandsmartin,Directed,23297,,,1
@205schoolteacha,@RoseanneOnABC,Directed,23299,,,1
@205schoolteacha,@ValerieJarrett,Directed,23684,,,1
@209stkize1,@MaxBlumenthal,Directed,40326,,,1
@20michael17,@dianew98581,Directed,33225,,,1
@20Sylly13,@LandenSmith11,Directed,8364,,,1
@216th,@Cyclethepacwest,Directed,1446,,,1
@216th,@tweetmommybop,Directed,1447,,,1
@217Savage,@gotham01,Directed,52166,,,1
@217Savage,@RoseanneOnABC,Directed,52168,,,1
@217Savage,@ValerieJarrett,Directed,52170,,,1
@217Savage,@YaMamaLovesIt,Directed,52165,,,1
@2180Sammy,@JoeConchaTV,Directed,47699,,,1
@21MilesNorth,@evilhag,Directed,41637,,,1
@21MilesNorth,@JimGaffigan,Directed,41639,,,1
@21MilesNorth,@jimmyfallon,Directed,41638,,,1
@21MilesNorth,@mishacollins,Directed,41642,,,1
@21MilesNorth,@prattprattpratt,Directed,41636,,,1
@21MilesNorth,@SarahKSilverman,Directed,41640,,,1
@21MilesNorth,@ZooeyDeschanel,Directed,41641,,,1
@21Savvy,@DonaldJTrumpJr,Directed,60787,,,1
@225Kristen,@andygh26,Directed,13491,,,1
@225Kristen,@debralynnsmith3,Directed,13494,,,1
@225Kristen,@Milliron681,Directed,13492,,,1
@225Kristen,@soonerrick,Directed,13493,,,1
@22750923hellyea,@FoxNews,Directed,54891,,,1
@22750923hellyea,@jefferyclark,Directed,54890,,,1
@22750923hellyea,@JessicaTarlov,Directed,54892,,,1
@22750923hellyea,@Petuniamay,Directed,54889,,,1
@22750923hellyea,@TheView,Directed,54894,,,1
@22750923hellyea,@youcrazypants,Directed,54888,,,1
@22wildberries,@TheTweetOfGod,Directed,13743,,,1
@239MyAss,@maggieNYT,Directed,20156,,,1
@24_7Eyes,@ajplus,Directed,48733,,,1
@24_7Eyes,@business,Directed,50366,,,1
@24_7Eyes,@davidschneider,Directed,18984,,,1
@24_7Eyes,@hasanthehun,Directed,47483,,,1
