Assigned To	Code	Date	User	Tweet
Suzanne Garcia	Unclear/Unrelated	Tue May 29 18:57:43 +0000 2018	MRJAYBEE83	Retweeted Brittany Packnett (@MsPackyetti):  We got Roseanne cancelled.   KEEP THAT SAME ENERGY FOR THESE MIDTERMS... https://t.co/xK0qUpWOhx
Michael Joseph, III	Anti-Roseanne	Tue May 29 18:57:43 +0000 2018	ThriftMoments	@therealroseanne @ChelseaClinton @OpenSociety ???? Fu Roseanne!   I'll never tune in when your on.  Enough hate!
Sigfried Gold	Unclear/Unrelated	Tue May 29 18:57:44 +0000 2018	LassoTruth	@DawnLasky @pemdasi @mishacollins @DisneyABCTV @therealroseanne Yep. It's not right that Roseanne is a crazy racist... https://t.co/TEHuKqohvI
Carmen Collins	Unclear/Unrelated	Tue May 29 18:57:45 +0000 2018	MelaniaHandSlap	@CNappz @michonne_walker @Sadiesayit @therealroseanne Yep that makes all the difference. She still wants to destroy... https://t.co/7lvSl6PRfb
Carmen Collins	Unclear/Unrelated	Tue May 29 18:57:45 +0000 2018	Callie_Callie	@COVFEFE_305 @mtcarkeys @ABC @therealroseanne @AprilDRyan @CNNMoney You really equate the two?  Wow, you are sick
Carmen Collins	Unclear/Unrelated	Tue May 29 18:57:45 +0000 2018	Jacksteal7	@haagendas @shiftywatt @andygh26 @Milliron681 @soonerrick @debralynnsmith3 @therealroseanne Personal attack? No dea... https://t.co/j9QQa6Txkr
Carmen Collins	Unclear/Unrelated	Tue May 29 18:57:45 +0000 2018	patriciawatsonm	@therealroseanne Everybody run to your safe places.
Carmen Collins	Pro-Roseanne	Tue May 29 18:57:45 +0000 2018	Sonoel90	In light of Roseanne's free speech being attacked by ABC, every Trump supporter should abandon Twitter.   Let's all... https://t.co/Gsnsrmm2qi
Suzanne Garcia	Anti-Roseanne	Tue May 29 18:57:45 +0000 2018	mdbergfeld	@therealroseanne good. bye! cunt!
Sigfried Gold	Anti-Roseanne	Tue May 29 18:57:46 +0000 2018	KingRamsey717	@therealroseanne Good riddance.
Sarah Jackson	Unclear/Unrelated	Tue May 29 18:57:47 +0000 2018	ideasurge	Roseanne
Sigfried Gold	Pro-Roseanne	Tue May 29 18:57:48 +0000 2018	DemiWuflower	@gatewaypundit @therealroseanne @espn LEAVE @therealroseanne ALONE!!! WHAT SHE SAID IS NOTHING IN COMPARISON TO THE... https://t.co/XrDH4bnTdx
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:57:48 +0000 2018	ChrisShepherd16	@davidaxelrod I was enjoying "Roseanne Reboot". Sad to see it go.She had an episode that challenged her character's... https://t.co/q3BtYCdyTA
Michael Joseph, III	Unclear/Unrelated	Tue May 29 18:57:48 +0000 2018	TRUMPTEAM3	TheOnion
