Source,Target
@tillmantweets,@_L_o_r_i_
@MVPCouple,@advodude
@realLibertyTom,@Pablo54572241
@rolliby,@DevenciaK
@cybernoelie,@kmiranda1973
@gcems645,@Immatur3_Adult
@usaforyoubruv,@therealroseanne
@thegeissberger,@1st_and_only
@thegeissberger,@ITMFA_NOW
@thegeissberger,@ScottDaniels447
@thegeissberger,@thepolyjunki
@thegeissberger,@JerriSwann21
@MzJenkins214,@Duckypam
@MZGreenOfficial,@travkee
@Nitrouso2,@lovemymaynard
@MAGAVoice1,@Jtmeier23
@kajaky98,@Kuahmel
@vickibazter,@BarryBonifay
@vickibazter,@whthfk1
@vickibazter,@janice_e
@JonGalt8,@MISSTERYdiva
@JonGalt8,@andygh26
@LindaC0928,@Pria_Amin
@annahjones83,@zbatkalis
@ChippewaPride72,@TrumpsTime1
@50th_President,@anyalhas
@LowLevelGeorge,@jami_san
@cchhjh_josette,@DrShayPhD
@Diane_Sheehan,@wthanyway
@25Article4,@realfakeAF
@haagendas,@shiftywatt
@BBNKyGal,@murmur1118
@SethP23,@C2theA2theB
@Pigletscooter,@jrbloom57
@Kayluvsredwings,@deb3ms
@cigarboyrick82,@sometimes_angry
@Noel_From_Boise,@fewfirstchoice
